Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Gemmatimonadetes	296	433	224	324	246	412	349	547	497	226	596	586	475	215	421	529	465	322	352	490	653	451	242	633
Ignavibacteria	34	107	123	111	239	162	127	249	104	62	131	100	214	135	626	39	34	201	104	320	112	147	836	103
Kiritimatiellae	223	205	116	81	171	151	139	81	177	78	328	251	341	228	197	71	194	133	228	153	369	170	183	406
Lentisphaeria	217690	33711	1211	4439	4324	4356	1229	903030	1457481	32308	1031	1480	49391	24058	40120	51140	71466	18702	316490	2207	15979	1566	11415	73918
Nitrospira	286	392	519	368	487	636	312	1249	490	331	472	660	329	364	605	1007	478	159	501	542	726	355	677	987
Phycisphaerae	155	307	148	125	176	103	220	196	133	220	246	157	220	170	312	461	582	207	666	281	152	231	94	352
Planctomycetia	855	1715	914	1080	936	1390	2097	2517	1202	1759	5478	2311	1390	823	1432	1506	851	530	1336	1691	1520	1655	1410	2193
Acidithiobacillia	214	167	144	120	147	103	208	292	207	86	298	430	125	132	246	380	183	103	208	293	154	333	202	555
Alphaproteobacteria	32529	37260	41780	28178	26815	31178	31248	44560	25291	26138	40578	35960	35048	21448	45119	45381	31570	21438	42849	41582	45071	33739	36790	53190
Betaproteobacteria	40239	32807	37552	25042	31204	28859	21959	487998	38540	788893	26053	26044	283174	26448	61274	35095	106131	45192	207302	32920	39079	24332	27266	36506
Deltaproteobacteria	142160	228168	64637	68298	90839	104194	82502	90053	161196	124977	179972	133863	247923	177980	178677	133790	99923	72366	176318	189031	254125	38274	173519	200021
Epsilonproteobacteria	9354	26222	6727	39622	26414	14805	13223	10029	7862	28978	11877	13534	13148	12561	215834	12358	8559	150134	50265	19063	22932	9504	11708	19492
Gammaproteobacteria	114946	693767	105858	1232946	393118	50278	106487	929175	45341	428348	55481	58717	2464503	70257	425455	213702	197021	412552	121166	103593	68729	64438	602685	72613
Hydrogenophilalia	62	74	276	21	48	68	42	8	39	161	34	54	47	40	63	28	14	44	29	63	34	60	61	59
Oligoflexia	221	139	314	128	94	91	443	341	117	215	161	211	94	277	672	381	411	67	620	253	216	164	603	222
Zetaproteobacteria	103	99	177	105	134	92	162	65	78	49	150	141	132	77	81	68	136	48	34	134	206	167	42	90
Spirochaetia	3503	15063	41087	5614	8371	31319	37483	2644	2026	9154	10878	12852	4684	22006	27913	9800	7894	25917	8709	22281	62477	35304	6346	8992
Synergistia	39929	39413	2609	36977	99858	438275	7884	2212058	30041	337591	39450	30081	137391	176622	203482	293517	105802	296768	158162	124293	38670	16916	196832	36253
Mollicutes	371	2994	2581	2801	9035	4430	1955	622	329	1676	1713	2495	1943	1763	1621	1300	836	2410	1820	2142	2457	2707	1430	2785
Thermodesulfobacteria	7	19	62	21	42	19	43	19	36	14	30	19	9	54	74	2	7	73	30	42	24	28	17	20
Thermotogae	353	240	648	231	492	377	517	654	135	421	635	362	302	447	607	582	854	384	877	475	315	541	355	763
Methylacidiphilae	0	13	10	6	1	9	15	97	9	40	1	10	1	7	286	0	7	6	61	10	5	19	429	8
Opitutae	1992	1350	659	790	1003	1325	2090	2545	1289	914	1220	1948	1313	561	1340	1803	1164	496	1420	1619	1251	1475	924	2151
Spartobacteria	11	86	84	2	0	0	31	5	0	31	1	40	1	11	2	0	3	15	79	8	130	35	4	3
Verrucomicrobiae	538	1176	510	7066	1196	713	861	1347117	2618153	167059	986	861	818	666	82979	1287	530	8309	764	1299	1038	881	1012	2193
